Altium Designer Pick and Place Locations
C:\Users\TamasSzabo\Documents\GitHub\Ortho4Exent\PCB\Project Outputs for Ortho4Exent\Pick Place\Pick Place for pcb(PRODUCTION).txt

========================================================================================================================
File Design Information:

Date:       12-01-21
Time:       11:03
Revision:   4eb4ad789a7450e96f473b6093d7c3e4a78cb085
Variant:    PRODUCTION
Units used: mm

Designator Layer       Footprint        Center-X(mm) Center-Y(mm) Rotation DESCIPTION                                                               MANUF     MANUFCODE        COMPATIBLES 
D72        BottomLayer SOT23-6L         -10.5000     -9.2500      360      ""                                                                       ""        ""               ""          
C29        BottomLayer CAPC0402N        -95.2500     -5.7500      180      "CAP SMD 0402 100 nF 10V X5R"                                            WE        885012105010     ""          
C28        BottomLayer CAPC0402N        -127.0000    -13.5000     180      "CAP SMD 0402 100 nF 10V X5R"                                            WE        885012105010     ""          
C27        BottomLayer CAPC0402N        -128.0000    -42.0000     180      "CAP SMD 0402 100 nF 10V X5R"                                            WE        885012105010     ""          
C26        BottomLayer CAPC0402N        -66.7500     -5.7500      180      "CAP SMD 0402 100 nF 10V X5R"                                            WE        885012105010     ""          
C25        BottomLayer CAPC0402N        95.2500      -5.7500      180      "CAP SMD 0402 100 nF 10V X5R"                                            WE        885012105010     ""          
C24        BottomLayer CAPC0402N        66.5000      -5.7500      180      "CAP SMD 0402 100 nF 10V X5R"                                            WE        885012105010     ""          
C23        BottomLayer CAPC0402N        28.5000      -5.5000      180      "CAP SMD 0402 100 nF 10V X5R"                                            WE        885012105010     ""          
C22        BottomLayer CAPC0402N        -28.5000     -5.5000      180      "CAP SMD 0402 100 nF 10V X5R"                                            WE        885012105010     ""          
C21        BottomLayer CAPC0402N        -123.7500    -70.7500     180      "CAP SMD 0402 100 nF 10V X5R"                                            WE        885012105010     ""          
C20        BottomLayer CAPC0402N        65.5000      -70.5000     180      "CAP SMD 0402 100 nF 10V X5R"                                            WE        885012105010     ""          
C19        BottomLayer CAPC0402N        -69.7500     -70.5000     180      "CAP SMD 0402 100 nF 10V X5R"                                            WE        885012105010     ""          
C18        BottomLayer CAPC0402N        -95.7500     -70.5000     180      "CAP SMD 0402 100 nF 10V X5R"                                            WE        885012105010     ""          
